,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zone
0,42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.4850712858515,11.347863741411926,Entire home/apt,68,3,160,2018-07-29,1.66,4,246,Galvani
1,46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49145546841946,11.335035377810266,Private room,28,1,151,2018-07-25,1.57,2,332,Malpighi
2,59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,44.48754833993418,11.340577016490862,Entire home/apt,55,1,206,2018-08-20,2.95,1,305,Galvani
3,70366,Fuoriporta,356310,Maria Ebe,,Porto - Saragozza,44.496992624128865,11.322056843021517,Entire home/apt,69,1,5,2015-07-16,0.09,1,323,Saffi
4,72319,AmaBologna Bed & Breakfast porticos,374533,Ersi,,Porto - Saragozza,44.48971877929874,11.32072251647731,Private room,36,2,29,2018-04-21,0.35,2,334,Costa Saragozza
5,83173,Cosy and bright rooms in Bologna,453008,Fulvio,,Navile,44.510127960382356,11.343160937088964,Private room,26,1,70,2018-06-19,0.79,2,273,Bolognina
6,85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834464580737,11.356715250599695,Entire home/apt,130,2,37,2018-05-14,0.47,1,298,Murri
7,87363,Green courtyard in Bologna,478689,Michelle,,Porto - Saragozza,44.49109068103253,11.322442256675346,Entire home/apt,80,4,21,2018-03-20,0.28,2,196,Costa Saragozza
8,87369,Flat in Bologna 1-4 guests,478689,Michelle,,Porto - Saragozza,44.490789324292756,11.321390216738141,Entire home/apt,80,5,1,2013-01-26,0.01,2,342,Costa Saragozza
9,106260,Nice room & great food experience!!,550844,Andrea & Susanna,,Navile,44.52569967031994,11.31529481254983,Private room,24,1,157,2018-08-17,1.79,3,349,Lame
10,130642,B&B Betta & Bologna,643133,Elisabetta,,Savena,44.4675509848099,11.388903192700724,Private room,50,2,25,2016-10-19,0.29,1,364,Mazzini
11,145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.49219739390242,11.337265943691733,Private room,40,2,51,2018-08-06,0.6,8,351,Malpighi
12,163336,Guesthouse Cartoleria - room 2,779753,Samantha,,Santo Stefano,44.48944095850857,11.348481694607232,Private room,35,1,82,2018-07-04,0.95,6,18,Galvani
13,174096,Charming  bedroom with ensuit,831542,Giovanna,,Borgo Panigale - Reno,44.50311960717208,11.301107233539355,Private room,75,2,55,2016-10-04,0.64,1,352,S. Viola
